position,token,surprisal_bits,category
410, ,0.0001874489098554477,boilerplate
411,1,0.4851853549480438,numeric
412,1,1.7545050382614136,numeric
413,.,0.6599778532981873,boilerplate
414,9,3.7225306034088135,numeric
415, g,0.12049655616283417,numeric
416,/d,0.02691967785358429,boilerplate
417,L,3.3909292221069336,numeric
418, and,1.9816516637802124,boilerplate
419, IN,1.2931392192840576,boilerplate
420,R,6.10525457886979e-05,boilerplate
421, of,0.08498416095972061,boilerplate
422, ,0.0008318122127093375,boilerplate
423,4,3.5621602535247803,numeric
424,.,0.0004372855764813721,boilerplate
425,9,4.732681751251221,numeric
426,.,0.18963290750980377,boilerplate
427, E,8.904557228088379,boilerplate
428,CG,0.839593231678009,boilerplate
429, showed,0.2863209843635559,boilerplate
430, atr,0.8638194799423218,boilerplate
431,ial,1.1866753993672319e-05,boilerplate
432, fibr,0.005554994102567434,clinical_entity
433,illation,2.0293809939175844e-05,clinical_entity
434,",",5.67301082611084,boilerplate
435, right,9.364107131958008,clinical_entity
436, bundle,0.3858465850353241,clinical_entity
437, branch,0.016492070630192757,clinical_entity
438, block,0.0005569442873820662,clinical_entity
439, and,0.3288496434688568,boilerplate
440, widespread,8.746992111206055,boilerplate
441, ST,0.2765711545944214,boilerplate
442, depression,1.831234097480774,clinical_entity
443,.,0.1392912119626999,boilerplate
444, Find,11.597222328186035,boilerplate
445,ings,1.3758605064140284e-06,boilerplate
446, on,1.3586539030075073,boilerplate
447, chest,0.9120234847068787,boilerplate
448, radi,2.4742953777313232,boilerplate
449,ograph,0.4583246111869812,boilerplate
450, were,1.2760329246520996,boilerplate
451, compatible,6.433974266052246,boilerplate
452, with,0.00027789719752036035,boilerplate
453, pulmonary,1.384781002998352,clinical_entity
454, o,0.14223484694957733,boilerplate
455,ed,1.633825922908727e-05,boilerplate
456,ema,1.7198254909089883e-06,boilerplate
457,.,0.33209800720214844,boilerplate
458, She,2.930952310562134,boilerplate
459, was,0.32735130190849304,boilerplate
460, commenced,3.286769390106201,boilerplate
461, on,0.0019213140476495028,boilerplate
462, a,6.866959571838379,boilerplate
463, nit,14.073264122009277,boilerplate
464,rate,0.8676691651344299,clinical_entity
465, infusion,0.050507981330156326,boilerplate
466,",",1.5729378461837769,boilerplate
467, intr,2.415895700454712,boilerplate
468,avenous,1.3414583918347489e-05,boilerplate
469, di,9.977967262268066,boilerplate
470,ure,0.0019149592844769359,boilerplate
471,tics,0.0379771962761879,clinical_entity
472, and,0.693010687828064,boilerplate
473, Bi,14.123618125915527,boilerplate
474,-level,12.805105209350586,boilerplate
475, Positive,1.8749951124191284,boilerplate
476, Air,0.02394026331603527,boilerplate
477,way,0.00034065739600919187,boilerplate
478, Pressure,0.0003205400425940752,clinical_entity
479, ventilation,8.085735321044922,clinical_entity
480,.,0.35476940870285034,boilerplate
481, Her,3.5251100063323975,boilerplate
482, condition,3.4013149738311768,boilerplate
483, improved,4.167130470275879,boilerplate
484, rapidly,6.242203235626221,boilerplate
485, and,2.203871965408325,boilerplate
486, the,7.33006477355957,boilerplate
487, Bi,8.014222145080566,boilerplate
488,-level,0.05825288966298103,boilerplate
489, Positive,0.3725701868534088,boilerplate
490, Air,0.00045172771206125617,boilerplate
491,way,1.2038780141665484e-06,boilerplate
492, Pressure,0.00015288447320926934,clinical_entity
493, ventilation,4.122889995574951,clinical_entity
494, was,0.010770524851977825,boilerplate
495, discontinued,1.1405292749404907,boilerplate
496,.,0.8645806908607483,boilerplate
497, An,7.645308971405029,boilerplate
498, hour,6.892096042633057,numeric
499, later,0.6702516674995422,clinical_entity
500, her,6.393063068389893,boilerplate
501, breathing,2.4903383255004883,clinical_entity
502, deterior,3.1744439601898193,clinical_entity
503,ated,6.139650213299319e-05,clinical_entity
504, and,2.0463976860046387,boilerplate
505, she,0.11278898268938065,boilerplate
506, newly,22.56795310974121,boilerplate
507, developed,0.007364558521658182,boilerplate
508, str,0.0822315663099289,boilerplate
509,idor,0.0009473133250139654,clinical_entity
510,.,0.6843495965003967,boilerplate
511, She,2.140129566192627,boilerplate
512, was,0.2828650176525116,boilerplate
513, noted,7.112050533294678,boilerplate
514, to,0.0024679028429090977,boilerplate
515, have,0.0707457959651947,boilerplate
516, developed,8.333169937133789,boilerplate
517, bru,13.779030799865723,boilerplate
518,ising,5.93327968090307e-05,clinical_entity
519, of,3.350684881210327,boilerplate
520, the,0.09873442351818085,boilerplate
521, neck,1.1435545682907104,clinical_entity
522,.,2.006636381149292,boilerplate
523, Urg,7.21666145324707,boilerplate
524,ent,8.323719521285966e-05,boilerplate
525, nas,13.106553077697754,boilerplate
526,o,1.9275853633880615,boilerplate
527,end,0.497018426656723,boilerplate
528,os,0.005951378494501114,boilerplate
529,copy,7.223252850963036e-06,boilerplate
530, showed,1.5177764892578125,boilerplate
531, a,0.29803067445755005,boilerplate
532, normal,13.108663558959961,clinical_entity
533, l,1.7674709558486938,numeric
534,ary,2.751719648586004e-06,boilerplate
535,nx,0.008034457452595234,boilerplate
536, with,2.5193049907684326,boilerplate
537, a,0.745944619178772,boilerplate
538, slight,12.666749000549316,boilerplate
539, bul,5.767199516296387,boilerplate
540,ge,0.07946964353322983,boilerplate
541, narrowing,18.05906105041504,clinical_entity
542, the,0.006408951710909605,boilerplate
543, tr,6.398430824279785,boilerplate
544,ache,8.599129728281696e-07,clinical_entity
545,a,0.0262848399579525,boilerplate
546, anterior,6.972431182861328,boilerplate
547,ly,0.08035612106323242,boilerplate
548,.,0.4131046533584595,boilerplate
549, She,3.6939468383789062,boilerplate
550, was,0.26188403367996216,boilerplate
551, immediately,2.597066879272461,boilerplate
552, int,0.3318960964679718,boilerplate
553,ub,1.0318955219190684e-06,boilerplate
